session_duration,inter_action_variance,actions_per_session,batch_size_mean,idle_ratio,tool_diversity,label,identity_type,is_compromised,source,backend,scenario
10.425,0.0701,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
9.207,0.036,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
10.749,0.4777,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
7.986,0.0774,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
9.179,0.4852,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
11.258,0.4944,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
9.261,0.1285,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
7.679,0.1308,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
8.997,0.4414,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
8.815,0.2974,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
10.542,0.0975,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
10.051,0.254,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
8.991,0.1722,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
8.812,0.3158,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
9.193,0.2174,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
12.355,0.0449,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
7.987,0.0123,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
10.348,0.0665,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
8.28,0.0347,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
9.261,0.0769,4,1,0.0,4,agent_normal,agent,False,harness_mock,MockVulnerableBackend,benign
